Store,Saleable Quantity,State
"Fountain Hills16825 E Shea Blvd Fountain Hills, AZ 85268-6668",17,AZ
"Scottsdale9000 E Talking Stick Way Scottsdale, AZ 85250-8502",153,AZ
"Mesa Red Mountain2151 N Power Rd Mesa, AZ 85215-2971",0,AZ
"Tempe NE1800 E Rio Salado Pkwy Ste 120, Tempe, AZ 85281-2266",162,AZ
"Grand Forks3601 32nd Ave S Grand Forks, ND 58201-5911",339,ND
"Greeley4400 Centerplace Dr Greeley, CO 80634-3756",178,CO
"Brighton2171 Prairie Center Pkwy Brighton, CO 80601-7000",124,CO
"Denver Stapleton7930 Northfield Blvd Denver, CO 80238-3527",126,CO
"Glendale4301 E Virginia Ave Glendale, CO 80246-1510",17,CO
"Aurora14200 E Ellsworth Ave Aurora, CO 80012-1402",119,CO
"Fargo4202 13th Ave SW Fargo, ND 58103-3308",325,ND
"Moorhead3301 Highway 10 E Moorhead, MN 56560-2516",156,MN
"Mesa West1230 S Longmore Ave Mesa, AZ 85202-9602",62,AZ
"Mesa Central1135 S Gilbert Rd Mesa, AZ 85204-5205",84,AZ
"Tempe1818 E Baseline Rd Tempe, AZ 85283-1502",119,AZ
"Gilbert1515 E Warner Rd Gilbert, AZ 85296-3138",131,AZ
"S Colorado Springs1630 E Cheyenne Mountain Blvd Colorado Springs, CO 80906-4050",192,CO
"Colorado Springs North5240 N Academy Blvd Colorado Springs, CO 80918-4004",82,CO
"Colorado Springs NE9670 Prominent Pt Colorado Springs, CO 80924-5000",146,CO
"Colorado Springs East3810 Bloomington St Colorado Springs, CO 80922-3203",180,CO
"Highlands Ranch1265 Sgt Jon Stiles Dr Highlands Ranch, CO 80129-2265",234,CO
"Castle Rock5010 Founders Pkwy Castle Rock, CO 80108-7838",66,CO
"Douglas County1950 E County Line Rd Highlands Ranch, CO 80126-2437",127,CO
"Pueblo3300 Dillon Dr Pueblo, CO 81008-1040",84,CO
"Lone Tree10001 Commons St Lone Tree, CO 80124-5547",185,CO
"Arapahoe6767 S Clinton St Englewood, CO 80112-3617",91,CO
"Parker11150 S Twenty Mile Rd Parker, CO 80134-4952",166,CO
"Denver SE7777 E Hampden Ave Denver, CO 80231",140,CO
"Aberdeen3316 7th Ave SE Aberdeen, SD 57401-6639",66,SD
"Tucson SW1225 W Irvington Rd Tucson, AZ 85714-1167",111,AZ
"Tucson El Con Mall3699 E Broadway Blvd Tucson, AZ 85716-5400",137,AZ
"Tucson Broadway5255 E Broadway Blvd Tucson, AZ 85711-3702",105,AZ
"Tucson North4040 N Oracle Rd Tucson, AZ 85705-2720",149,AZ
"Tucson NW3901 W Ina Rd Tucson, AZ 85741-2206",1,AZ
"Tucson NE6500 E Grant Rd Tucson, AZ 85715-3801",214,AZ
"Tucson SE9615 E Old Spanish Trl Tucson, AZ 85748-7540",200,AZ
